"出展メーカー","タイトル","HP","HPの要約","会社名","ドメイン","ロゴURL"
"エバーグリーン","EVERGREEN（エバーグリーン　インターナショナル）","http://www.evergreen-fishing.com/","","株式会社 エバーグリーンインターナショナル","evergreen-fishing","http://www.evergreen-fishing.com/img/common/logo.png"
"中央漁具","中央漁具株式会社 | GO AHEAD 文化として、釣りを未来へ継承してゆくために。","https://www.chuo-gyogu.jp/","","中央漁具株式会社 | GO AHEAD 文化として、釣りを未来へ継承してゆくために。","chuo-gyogu","https://www.chuo-gyogu.jp/img/lg_goldenmean_b.png"
"シーガー　クレハ合繊株式会社","フロロカーボンのパイオニア・釣り糸のシーガー｜Seaguar","https://www.seaguar.ne.jp/","","","seaguar","https://www.seaguar.ne.jp/img/common/logo_w.svg"
"デュエル","釣具の総合メーカー デュエル","https://www.duel.co.jp/","","","duel","https://www.duel.co.jp/files/uploads/logo-pc.png"
"がまかつ","がまかつ","https://www.gamakatsu.co.jp/","","","gamakatsu","https://www.gamakatsu.co.jp/wp-content/themes/main-thema/img/logo-wh.svg"
"Hapyson","Hapyson – Create your fishing life","https://hapyson.com/","","山田電器工業株式会社","hapyson","https://hapyson.com/admin/wp-content/themes/hapyson_theme/lib/img/common/main_logo.svg"
"TORAY","Fishing Net | 東レ・モノフィラメント株式会社","http://www.torayfishing.net","","Fishing Net | 東レ・モノフィラメント株式会社","torayfishing","http://www.torayfishing.net/assets/img/logo.png"
"SHIMANO","","https://www.shimano.com/jp/","","","shimano",""
"ダイワ（グローブライド） + SLP WORKS","DAIWA TOP","https://www.daiwa.com/jp/","","","daiwa","https://390386bd-1bf0-4900-aa10-cac1793c9a23-afd-dqdkdpcqgcc6hahm.z01.azurefd.net/-/media/Project/globeride/daiwa_com_jp/common/dvec.svg?iar=0&rev=201fd0c750944f27a969a7d504c831e2&hash=7C9BB34191C03DE9FB7033BA0BA5E199"
"ダイワ（グローブライド） + SLP WORKS","SPORTLIFE PLANETS ： 株式会社スポーツライフプラネッツ","https://sportlifeplanets.com/","","株式会社スポーツライフプラネッツ","sportlifeplanets","https://contents.slp-works.com/assets/hp/images/common/logo_sportlifeplanets01.png"
"SMITH","SMITH LTD.","https://www.smith.jp/","","","smith","https://www.smith.jp/img/00-logo2.jpg"
"Jackson","ジャクソン | Jackson | ルアー | 釣り","https://jackson.jp/","","","jackson","https://jackson.jp/wp-content/themes/jackson/img/common/logo.png"
"プロックス／PROX inc.","釣りをもっとお手軽に… -【公式】株式会社プロックス","http://www.proxinc.co.jp","","釣りをもっとお手軽に… -【公式】株式会社プロックス","proxinc","https://www.proxinc.co.jp/prox/wp-content/themes/prox/assets/img/common/footer_logo_prox.png"
"釣研","釣研 / オーシャンルーラー","https://www.tsuriken.co.jp/","","","tsuriken","https://www.tsuriken.co.jp/assets/img/header_1_3.png"
"OceanFreaks","オーシャンフリークス","https://oceanfreaks.biz/","","Copyright © 2023 オーシャンフリークス株式会社","oceanfreaks","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAARAAAAChAQMAAAA1JXIyAAAAA1BMVEUAAACnej3aAAAAAXRSTlMAQObYZgAAABxJREFUWMPtwQENAAAAwqD3T20PBxQAAAAAAKcGFgMAAQpW+AQAAAAASUVORK5CYII="
"ハヤブサ","株式会社ハヤブサ","https://www.hayabusa.co.jp","","株式会社ハヤブサ","hayabusa","https://www.hayabusa.co.jp/wp/wp-content/themes/hayabusa2019/_assets/img/common/cmn_logo09.svg"
"富士工業 株式会社","釣り具 ガイドの富士工業","https://www.fujitackle.com/","","富士電波航器株式会社を設立","fujitackle","https://www.fujitackle.com/cms-fuji/wp-content/themes/fuji-theme/img/logo-transparent.png"
"VARIVAS","株式会社バリバス","https://www.varivas.co.jp","","株式会社バリバス","varivas","https://www.varivas.co.jp/cms/wp-content/themes/varivas_thema/assets/img/common/saiyou-bnr.png"
"株式会社サンライン","サンライン -SUNLINE-","https://sunline.co.jp/","","","sunline","https://sunline.co.jp/wp-content/themes/sunline/img/common/hd_logo.svg"
"TENRYU／テンリュウ","TENRYU Fishing Catalog｜フィッシング ロッド カタログ - 天龍 釣具事業","https://fishing.tenryu-magna.com/","","","fishing","https://fishing.tenryu-magna.com/common/images/logo.png"

"ゴールデンミーン","ゴールデンミーン","https://www.golden-mean.co.jp/","","","golden-mean","https://www.golden-mean.co.jp/wp/wp-content/themes/golden_mean_04/images/common/logo.gif"
"FUJI-TOKI／ZEXUS","ZEXUS公式サイト | ゼクサス","https://www.zexus.com/","","","zexus","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"KAIO LURES","KAIO LURES｜ソルトウォータールアーブランド","https://kaiolures.com/","","","kaiolures","https://kaiolures.com/wp-content/themes/gamma/library/images/logo.png"
"ゼロドラゴン","ZERO DRAGON | ゼロドラゴン","https://zerodragon.jp/","","","zerodragon","https://zerodragon.jp/common/image/logo.svg"
"BMO JAPAN","フィッシング、ボート用品のビーエムオージャパン(BMO)","http://bmojapan.jp/","","","bmojapan","https://bmojapan.jp/wp-content/themes/bmojapan.com/images/common/header/logo.png"
"株式会社タカタ","釣具・オモリなら株式会社タカタ","http://www.f-takata.co.jp","","釣具・オモリなら株式会社タカタ","f-takata","https://www.f-takata.co.jp/wp-content/themes/type03/img/common/pic_logo.png"
"シーフロアコントロール","シーフロアコントロール公式サイト | BATTLE FISHERMAN SUPPORT COMPANY","https://seafloor-control.com","","","seafloor-control","https://seafloor-control.com/wp-content/themes/sfc2022/img/common/logo.png"
"MEIHO明邦化学","明邦化学工業株式会社","https://meihokagaku.co.jp/","","明邦化学工業株式会社","meihokagaku","https://meihokagaku.co.jp/img/common/footer-logo.png"
"PREDGE","冨士精密からソルトルアーブランドPREDGE（プレッジ）誕生！| ルアー／フィッシングギア - PREDGE（プレッジ）","https://predge-fishing.com/","","","predge-fishing","https://predge-fishing.com/assets/img/common/logo.png"
"TULALA","TULALA | Ford every stream |","https://tulalajp.com/","","","tulalajp","https://tulalajp.com/wp/wp-content/themes/tulalatheme/common/img/logo.png"
"グッドベイト","","https://www.good-bait.com","","","good-bait",""
"ヤマガブランクス","ヤマガブランクス | 釣竿・ロッドメーカーサイトYAMAGA Blanks","https://yamaga-blanks.com","","","yamaga-blanks","https://yamaga-blanks.com/wp/wp-content/themes/yamaga/assets/img/common/header_logo.png"
"リップル","RippleFisherリップルフィッシャー","https://ripplefisher.com/","","","ripplefisher","https://ripplefisher.com/ripple/wp-content/themes/ripple/img/top/hd_logo.png"
"Hyperfishing","Home - Hyperfishingtackle","https://www.hyperfishingtackle.com/","","","hyperfishingtackle",""
"ULTRA LURE FACTORY","Home","https://ultralurefactory.com/","","","ultralurefactory","https://img1.wsimg.com/isteam/ip/32fb4f51-b820-4666-a622-120693dbee54/120cmx50cm.png/:/rs=h:47,cg:true,m/qt=q:95"
"ユニチカ","ユニチカフィッシングライン","https://www.unitika.co.jp/fishing","","","unitika","https://www.unitika.co.jp/fishing/common/images/logo.svg"
"オリムピック","OLYMPIC Co., Ltd.","https://olympic-co-ltd.jp/fishing/","","","olympic-co-ltd","https://olympic-co-ltd.jp/fishing/wp-content/uploads/2023/12/fishing_top_main_sp_2024.jpg"
"沈まないウキ ｂｙ 阿南工房","阿南工房 – 阿南で営むオンラインショップ","https://anankobo.com/","","","anankobo",""
"136-Glass","136 Glass – 釣り･フィッシングにおすすめ偏光サングラス","https://136-glass.com/","","製造元/販売 株式会社シューユウ","136-glass","https://136-glass.com/wp-content/themes/blocksy-child/img/rogo.png"
"KANAMA","Kanama Smart Bait – Electronic Robotic Lure That Replaces Live Bait","https://www.kanama.com/","","","kanama","https://www.kanama.com/cdn/shop/files/LOGO.svg?v=1756966903&width=135"
"Amigo   (Deluxtechnology Inc.)","디럭스테크놀로지","https://deluxtech.co.kr/","","","deluxtech","https://deluxtech.co.kr/theme/deluxtech/images/logo.png"
"剛樹","ホーム | フィッシングロッドメーカー 株式会社 剛樹","https://gouki.co.jp/","","ホーム | フィッシングロッドメーカー 株式会社 剛樹","gouki","https://gouki.co.jp/global-image/header/8-logo.png?b05d798cce141c7e674e5caad5367f9a"
"ヤマシタ／マリア","","https://www.yamaria.co.jp","","","yamaria",""
"ささめ針","釣り｜海釣り仕掛｜渓流仕掛｜釣り針の（株）ささめ針","https://www.sasame.co.jp","","","sasame","https://www.sasame.co.jp/wp-content/themes/thema2021/img/asset/logo-bk.svg"
"SHOUT","SHOUT｜シャウト｜ジギング -SHOUT｜シャウト｜ジギング","https://shout-net.com","","","shout-net","https://shout-net.com/wp-content/themes/shout/img/logo_w.svg"
"RYUGI","TOP｜バス釣りのタックル｜RYUGI（リューギ）","https://ryugi.jp/","","","ryugi",""
"ジャングルジム","ジャングルジム","https://junglegym-world.net/","","","junglegym-world","https://junglegym-world.net/wp-content/themes/junglegym/img/logo.svg"
"XBRAID／Y・G・K","XBRAID | 釣り糸メーカーYGK（株式会社ワイ・ジー・ケー）のブランドサイト","https://xbraidygk.jp/","","XBRAID | 釣り糸メーカーYGK（株式会社ワイ・ジー・ケー）のブランドサイト","xbraidygk","https://xbraidygk.jp/asset/images/common/logo.svg"
"アリゲーター","アリゲーター技研 ALLIGATOR GIKEN Co., Ltd. | マグロやカンパチなどの大物・超大物に特化したフィッシングロッドメーカー。海釣り用の道具を提供しています。","https://alligator.co.jp","","","alligator","https://alligator.co.jp/wp-content/uploads/2025/10/2025-header-logo-base.png"
"Bluestorm","Bluestorm｜高階救命器具株式会社","https://bluestorm.jp/","","Bluestorm｜高階救命器具株式会社","bluestorm","https://bluestorm.jp/assets/img/common/logo.svg"
"ソースプロアウトドア","SourcePro Outdoors Co.,Ltd.  |","https://www.sourcepro.cn/","","","sourcepro","https://www.sourcepro.cn/wp-content/uploads/sites/45/2020/03/logo2.png"
"ゼニス","【フィッシング（釣り具）タックル】ZENITH（ゼニス）：ロッド","https://zenith-dream.jp/","","","zenith-dream","https://zenith-dream.jp/wp/wp-content/uploads/2023/05/44ae1fd6e8f19d14bf95f9919c4fafe9-1.jpg"
"オクマ","【フィッシング（釣り具）タックル】Okuma（オクマ）：リール","https://okuma.zenith-dream.jp/","","","okuma","https://okuma.zenith-dream.jp/wp/wp-content/uploads/2025/03/b294765ef248f8edf7c0d123b303e4d8.jpg"
"ゴメクサス","【公式】ゴメクサス（Gomexus）|ベイトリール |スピニングリール | カスタムリールハンドル |ノブ |スタンド","https://www.gomexus.jp/","","","gomexus","https://gomexus.jp/wp-content/uploads/2025/08/20250827-152307-scaled.png"
"プラスエム","Plus-M Inc. | Fishing is my life. 株式会社プラスエム – 株式会社プラスエムは女性釣り人のため の釣り用品開発と、釣りの楽しさをより多くの人に伝える活動を通じて世の中をより Happy にします!","https://plusm.jp/","","株式会社プラスエムの目的は、多くの人に釣りの楽しさを知ってもらうことです。","plusm","https://plusm.jp/wp/wp-content/uploads/2020/09/plusm-logo_m.png?1772801201"
"櫻井釣漁具株式会社","","https://www.sakura-rod.co.jp/","","","sakura-rod",""
"株式会社ゴーセン","","https://www.gosen-f.jp/","","","gosen-f",""
"山豊テグス","山豊テグス株式会社","http://www.yamatoyo.com","","山豊テグス株式会社","yamatoyo",""
